video name,name,duration,link,thumbnail,created_time,modified_time,release_time
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 10A-17,,4759,https://vimeo.com/262537277,https://i.vimeocdn.com/video/692081084-e2fd6ef53dff317a89ee8fba530698bd23be775dc65fe8abcadfaa1a52782ba2-d_1920x1080?r=pad,2018-03-30T13:47:49+00:00,2023-03-24T00:05:29+00:00,2018-03-30T13:47:49+00:00
LAPD Class 11-2021 Graduation Ceremony,,4783,https://vimeo.com/719622652,https://i.vimeocdn.com/video/1449753913-9b15db6deda2cdd0fb27eccf1b0b967b89f22d0331c4e8b85d88f62db91e9ea8-d_1920x1080?r=pad,2022-06-12T18:43:23+00:00,2023-03-15T06:09:46+00:00,2022-06-12T18:43:23+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 6-18,,4793,https://vimeo.com/303514321,https://i.vimeocdn.com/video/742580877-c28439d60d12c70744e3c553ac49e69f05be57bdf92cbbae5e169be5ae86ea15-d_1920x1080?r=pad,2018-11-29T15:07:57+00:00,2023-02-24T04:10:32+00:00,2018-11-29T15:07:57+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 3-18,,4812,https://vimeo.com/289282259,https://i.vimeocdn.com/video/724938409-b05a81f7dbe020d78d0bfba47e8f2529d1426aa24d5c523b0ec6dc304c2fccaf-d_1920x1080?r=pad,2018-09-11T13:41:30+00:00,2022-09-06T20:49:31+00:00,2018-09-11T13:41:30+00:00
LAPD Recruit Officer Graduation Ceremony for Class 12-18,,4852,https://vimeo.com/343302248,https://i.vimeocdn.com/video/792450546-17acbcb184f1eb23f1fe8dcfba34986c1fb4fc35fef3e336d9d63c7edfc99a5a-d_1920x1080?r=pad,2019-06-19T19:38:14+00:00,2023-03-19T21:41:53+00:00,2019-06-19T19:38:14+00:00
LAPD Class 10-2022 Graduation Ceremony,,4889,https://vimeo.com/710526391,https://i.vimeocdn.com/video/1433108020-3349a715aa9b8aedcb5fbb828b40668c2edb54b99ba497ed8e53f87ebf7b0c38-d_1920x1080?r=pad,2022-05-16T20:17:26+00:00,2023-04-07T02:09:37+00:00,2022-05-16T20:17:26+00:00
"LAPD Graduation Exercises - Class 4-2018 - September 28, 2018",,4889,https://vimeo.com/293978806,https://i.vimeocdn.com/video/730799576-246543f2a4e29f29d69ae07dc01f8e7469fe83801780e8b38a1eb882d22930fe-d_1920x1080?r=pad,2018-10-08T16:18:54+00:00,2022-06-08T15:25:51+00:00,2018-10-08T16:18:54+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 9A-19,,4914,https://vimeo.com/393486744,https://i.vimeocdn.com/video/859300394-c727cf0fcc838027ce6c7963d6ca04c8ce446d0b732ac3adfde13a775a92a652-d_1920x1080?r=pad,2020-02-24T17:48:12+00:00,2023-05-07T21:02:08+00:00,2020-02-24T17:48:12+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 1-16,,4928,https://vimeo.com/176726741,https://i.vimeocdn.com/video/584628611-ac881fb2d04b2e1a5dab6cbeff77acbeea197d61a8816f45318fd856f6cc1892-d_1920x1080?r=pad,2016-07-29T10:33:33+00:00,2023-03-10T03:39:28+00:00,2016-07-29T10:33:33+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 11A-15 Class,,5119,https://vimeo.com/165439126,https://i.vimeocdn.com/video/569734604-16048b70d4846b41e50d1d8c89af2c2c9e6301d17bbcbf17624c094c6bd4877b-d_1920x1080?r=pad,2016-05-05T13:59:58+00:00,2023-02-20T22:49:42+00:00,2016-05-05T13:59:58+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 8-19,,5212,https://vimeo.com/387311522,https://i.vimeocdn.com/video/850421344-4a05d4d18b9cc93662c5ded1d54f982be0afb3f4ceb3dd5e0b195dad7b128a24-d_1920x1080?r=pad,2020-01-26T20:15:49+00:00,2022-11-17T04:10:51+00:00,2020-01-26T20:15:49+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 5-16 & 5-16R,,5284,https://vimeo.com/192355274,https://i.vimeocdn.com/video/604368365-cabed2337b399766e9cd09ccde1129dc4b234cf1ba686a63d337e770481a6252-d_1920x1080?r=pad,2016-11-20T18:37:09+00:00,2022-07-30T21:14:09+00:00,2016-11-20T18:37:09+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 12-17,,5295,https://vimeo.com/276165502,https://i.vimeocdn.com/video/708741515-e7dc8625a57a1598a125926f7473bd3548fa3732bdd2b16eebb0592f86536db1-d_1920x1080?r=pad,2018-06-21T04:29:21+00:00,2023-03-07T04:12:50+00:00,2018-06-21T04:29:21+00:00
LAPD Recruit Officer Graduation Ceremony for Class 6-22 Video,,5467,https://vimeo.com/777891428,https://i.vimeocdn.com/video/1561188941-20ab8dd8b01d399ccd714dc6378feb1e58fc4f1708e18bffb90b44dfe6895fc0-d_1920x1080?r=pad,2022-12-04T20:52:37+00:00,2023-05-07T21:41:18+00:00,2022-12-04T20:52:37+00:00
LAPD Graduation 09 2014,,5559,https://vimeo.com/122115440,https://i.vimeocdn.com/video/511458784-7668d8b6f20769c778f3d8b93d16f9cfb5eee787934df252466a18a1c73adf12-d_1920x1080?r=pad,2015-03-13T16:07:28+00:00,2023-03-07T05:39:45+00:00,2015-03-13T16:07:28+00:00
LAPD Recruit Officer Graduation Ceremony for Class 02-19,,5589,https://vimeo.com/353109925,https://i.vimeocdn.com/video/805191819-e3243a89e0d4eaae1ac58e4853ac6a7c3411635cb6162a53b61ec694a6c940eb-d_1920x1080?r=pad,2019-08-10T15:18:31+00:00,2023-04-16T19:12:00+00:00,2019-08-10T15:18:31+00:00
LAPD Class 7-2021Graduation Ceremony,,5597,https://vimeo.com/659970854,https://i.vimeocdn.com/video/1333238769-54e850465d5b15724741cc94203a9e58a758db051f956eb57e3745306b2fd56a-d_1920x1080?r=pad,2021-12-24T17:31:40+00:00,2023-04-19T22:57:25+00:00,2021-12-24T17:31:40+00:00
